title; artist; popularity
The First Time Ever I Saw Your Face; Roberta Flack; 77
Ain't No Sunshine; Bill Withers; 74
Lean on Me; Bill Withers; 70
Lovely Day; Bill Withers; 75
Use Me; Bill Withers; 77
You're The One That I Want - From “Grease”; John Travolta; 48
Summer Nights - From “Grease”; John Travolta; 45
Greased Lightnin' - From “Grease”; John Travolta; 50
Hopelessly Devoted To You - From “Grease”; Olivia Newton-John; 44
Take Me Home, Country Roads; John Denver; 73
Annie's Song; John Denver; 65
Rocky Mountain High; John Denver; 76
A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969; Johnny Cash; 77
Margaritaville; Jimmy Buffett; 78
Changes In Latitudes, Changes In Attitudes; Jimmy Buffett; 32
Piano Man; Billy Joel; 92
Just the Way You Are; Billy Joel; 82
Movin' Out (Anthony's Song); Billy Joel; 42
Only the Good Die Young; Billy Joel; 71
She's Always a Woman; Billy Joel; 60
Bennie And The Jets - Remastered 2014; Elton John; 82
Crocodile Rock; Elton John; 81
Goodbye Yellow Brick Road - Remastered 2014; Elton John; 81
Don't Go Breaking My Heart; Elton John; 87
I Shot The Sheriff; Eric Clapton; 85
Wonderful Tonight; Eric Clapton; 88
Lay Down Sally; Eric Clapton; 80
Jamming; Bob Marley & The Wailers; 62
Three Little Birds; Bob Marley & The Wailers; 69
Is This Love; Bob Marley & The Wailers; 89
Stir It Up - Jamaican Version; Bob Marley & The Wailers; 27
Could You Be Loved; Bob Marley & The Wailers; 67
Rich Girl; Daryl Hall & John Oates; 53
Sara Smile; Daryl Hall & John Oates; 61
Maneater; Daryl Hall & John Oates; 71
You Make My Dreams (Come True); Daryl Hall & John Oates; 66
September Gurls; Big Star; 65
Thirteen; Big Star; 71
Fox on the Run - Single Version; Sweet; 45
The Ballroom Blitz; Sweet; 64
Blockbuster; Sweet; 64
Cum on Feel the Noize; Slade; 70
Merry Xmas Everybody; Slade; 77
Get It On; T. Rex; 57
Children of the Revolution - Remaster; T. Rex; 73
20th Century Boy - Remaster; T. Rex; 70
School's Out; Alice Cooper; 64
No More Mr. Nice Guy; Alice Cooper; 60
Poison; Alice Cooper; 89
Radar Love; Golden Earring; 82
Blinded by the Light; Manfred Mann's Earth Band; 70
Davy's on the Road Again; Manfred Mann's Earth Band; 54
Locomotive Breath; Jethro Tull; 72
Aqualung; Jethro Tull; 78
Thick as a Brick (Pt. I) - 1997 Remaster; Jethro Tull; 41
All Right Now; Free; 73
Feel like Makin' Love - 2015 Remaster; Bad Company; 55
Can't Get Enough - 2015 Remaster; Bad Company; 39
Slow Ride - Edit; Foghat; 35
Fool for the City - 2016 Remaster; Foghat; 27
Frankenstein; The Edgar Winter Group; 60
Free Ride; The Edgar Winter Group; 66
Smokin' in the Boy's Room; Brownsville Station; 47
Cat Scratch Fever; Ted Nugent; 74
Stranglehold; Ted Nugent; 68
Black Betty; Ram Jam; 90
The Boys Are Back In Town; Thin Lizzy; 77
Whiskey In The Jar; Thin Lizzy; 71
Dancing In The Moonlight; King Harvest; 73
Brandy (You're a Fine Girl); Looking Glass; 71
The Joker; Steve Miller Band; 85
Fly Like An Eagle; Steve Miller Band; 68
Rock'n Me; Steve Miller Band; 53
Take The Money And Run; Steve Miller Band; 72
Give Up The Funk (Tear The Roof Off The Sucker); Parliament; 46
Flash Light; Parliament; 63
One Nation Under a Groove; Funkadelic; 77
Love Rollercoaster; Ohio Players; 58
Fire; Ohio Players; 73
Brick House; Commodores; 78
Easy; Commodores; 77
Three Times A Lady; Commodores; 63
Lady Marmalade; Patti LaBelle; 63
That's the Way (I Like It) - 2004 Remaster; KC & The Sunshine Band; 52
Get Down Tonight - 2004 Remaster; KC & The Sunshine Band; 49
(Shake, Shake, Shake) Shake Your Booty; KC & The Sunshine Band; 27
Disco Inferno; The Trammps; 48
Turn the Beat Around; Vicki Sue Robinson; 64
Knock on Wood - 1985 7 Remix; Amii Stewart; 48
Don't Leave Me This Way; Thelma Houston; 62
Bad Company; Bad Company; 73
I Love The Nightlife (Disco 'Round) - Single Version; Alicia Bridges; 43
Ring My Bell; Anita Ward; 75
Funkytown; Lipps Inc.; 81
Atomic; Blondie; 81
Denis; Blondie; 75
Beat It; Michael Jackson; 96
Thriller; Michael Jackson; 96
Smooth Criminal - 2012 Remaster; Michael Jackson; 68
Take on Me; a-ha; 98
Sweet Dreams (Are Made of This) - 2005 Remaster; Eurythmics; 56
Like a Virgin; Madonna; 87
Material Girl; Madonna; 89
Like a Prayer; Madonna; 92
Into the Groove; Madonna; 85
You Give Love A Bad Name; Bon Jovi; 92
Welcome To The Jungle; Guns N' Roses; 94
Paradise City; Guns N' Roses; 93
With Or Without You - Remastered 2007; U2; 91
I Still Haven't Found What I'm Looking For - Remastered 2007; U2; 77
Sunday Bloody Sunday - Remastered 2008; U2; 85
Pride (In The Name Of Love) - Remastered 2009; U2; 79
Purple Rain; Prince; 91
Kiss; Prince; 86
1999; Prince; 83
Little Red Corvette; Prince; 84
Girls Just Want to Have Fun; Cyndi Lauper; 96
Time After Time; Cyndi Lauper; 92
